run,output_dir,saved_index,step,peak_k,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,masked_slope,masked_r_squared
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,49,49000,3.0,2.0,4.0,9,35,27,1.2629795574042807e-12,-3.8560082591769427,0.9673537447764796
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,0,0,3.0,2.0,4.0,9,41,33,2.161156290196979e-12,-1.0203392414991241,0.927039046528769
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,1,1000,3.0,2.0,4.0,9,41,33,2.0632562614788965e-12,-1.0729065558537219,0.935222080960552
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,2,2000,3.0,2.0,4.0,9,41,33,1.984760115233337e-12,-1.125479165837514,0.9417402481558398
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,3,3000,3.0,2.0,4.0,9,41,33,1.9204477855357565e-12,-1.1780518046696775,0.9469129285014464
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,4,4000,3.0,2.0,4.0,9,41,33,1.866698779823262e-12,-1.2306181449740423,0.9510047848262593
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,5,5000,3.0,2.0,4.0,9,41,33,1.820956937335128e-12,-1.2831715825492804,0.9542358538780773
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,6,6000,3.0,2.0,4.0,9,41,33,1.7813861655984828e-12,-1.335706883601592,0.9567878117129024
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,7,7000,3.0,2.0,4.0,9,41,33,1.7466455052155556e-12,-1.388223323835365,0.9588051488712448
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,8,8000,3.0,2.0,4.0,9,41,33,1.7157398651024635e-12,-1.4407300922672632,0.9603908520114471
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,9,9000,3.0,2.0,4.0,9,41,33,1.6879194584688173e-12,-1.4932543168602634,0.9615982963352567
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,10,10000,3.0,2.0,4.0,9,41,33,1.6626110449976605e-12,-1.5458504344005435,0.962424663660431
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,11,11000,3.0,2.0,4.0,9,41,33,1.6393702466669398e-12,-1.5986063938921264,0.9628152065599181
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,12,12000,3.0,2.0,4.0,9,41,33,1.6178480233149754e-12,-1.6516382555070779,0.9626889697965233
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,13,13000,3.0,2.0,4.0,9,41,33,1.5977667922373237e-12,-1.7050633066116685,0.9619908666345841
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,14,14000,3.0,2.0,4.0,9,41,33,1.5789032023737243e-12,-1.7589479448433758,0.9607598544009114
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,15,15000,3.0,2.0,4.0,9,41,33,1.5610755578662092e-12,-1.8132440259521845,0.9591820467405153
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,16,16000,3.0,2.0,4.0,9,41,33,1.5441345288789964e-12,-1.8677523107627896,0.9575833736636592
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,17,17000,3.0,2.0,4.0,9,41,33,1.5279562129909593e-12,-1.922166078620949,0.9563277468666158
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,18,18000,3.0,2.0,4.0,9,41,33,1.5124368956383566e-12,-1.976220616438088,0.9556389703863055
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,19,19000,3.0,2.0,4.0,9,41,33,1.497489051379991e-12,-2.0298848064724027,0.9554487142781147
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,20,20000,3.0,2.0,4.0,9,41,33,1.483038260441691e-12,-2.0834267425297637,0.955425752970303
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,21,21000,3.0,2.0,4.0,9,41,33,1.4690208070854187e-12,-2.1372088673348424,0.9552501124625685
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,22,22000,3.0,2.0,4.0,9,41,33,1.4553817909314106e-12,-2.1913115388459383,0.9549366810023481
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,23,23000,3.0,2.0,4.0,9,41,33,1.4420736280835122e-12,-2.245346691556106,0.9548512229805384
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,24,24000,3.0,2.0,4.0,9,41,33,1.429054851650669e-12,-2.2987537538099114,0.9552894673924177
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,25,25000,3.0,2.0,4.0,9,41,33,1.4162891446644303e-12,-2.3513684871634593,0.9559573339913481
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,26,26000,3.0,2.0,4.0,9,41,33,1.4037445554788712e-12,-2.4033849729977033,0.9561181661033271
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,27,27000,3.0,2.0,4.0,9,41,33,1.3913928579647543e-12,-2.4543512842632063,0.9556035050261684
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,28,28000,3.0,2.0,4.0,9,41,33,1.379209027845823e-12,-2.502936298630961,0.95515217442582
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,29,29000,3.0,2.0,4.0,9,41,33,1.36717081297602e-12,-2.5485505429444726,0.9553259923004901
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,30,30000,3.0,2.0,4.0,9,41,33,1.3552583802122542e-12,-2.5921973333234987,0.9559743840145439
